impl,msg_size,threads,throughput_gbps,latency_us,cpu_cycles,page_faults,llc_cache_misses,context_switches
A1,64,1,1.988947,0.219031,13091797773,64,3654138,33816
A1,64,2,2.346643,0.216614,0,66,0,50919
A1,64,4,2.308835,0.219950,7925058462,64,9795983,51943
A1,64,8,2.329572,0.218173,14199712524,65,20514679,51179
A1,128,1,4.487547,0.224806,5649661109,65,1551353,67090
A1,128,2,4.539118,0.224078,14911716751,65,16839096,65198
A1,128,4,4.484677,0.224755,11662842177,65,3307139,69770
A1,128,8,4.569504,0.222359,15096364439,65,5823513,62457
A1,256,1,8.462994,0.240232,14616583863,65,2808668,104066
A1,256,2,8.447707,0.240794,14293044478,64,2827303,110723
A1,256,4,8.441916,0.240843,14182997003,65,16817066,109489
A1,256,8,8.362343,0.243138,14697715549,65,18193328,104043
A1,512,1,15.247406,0.266529,14771003862,65,24173682,134848
A1,512,2,15.445923,0.263281,15443470412,64,11318284,126205
A1,512,4,14.782142,0.275084,15255754784,66,41634469,122989
A1,512,8,15.351279,0.264998,15571569694,66,8631041,134428
A2,64,1,1.369484,0.371194,16648984635,65,2243176,2471
A2,64,2,1.378557,0.368879,16485993026,65,13520023,6665
A2,64,4,1.374040,0.369585,16163243548,64,8201774,8610
A2,64,8,1.374339,0.369885,16134620996,65,88113928,7834
A2,128,1,2.705768,0.375833,16579056616,65,2285483,5318
A2,128,2,2.721112,0.373695,10811654983,64,2234952,1784
A2,128,4,2.720449,0.373841,16682299301,66,2378038,3148
A2,128,8,2.708191,0.375367,10287869758,65,600713,4648
A2,256,1,5.301410,0.383509,15700676464,66,11989815,2256
A2,256,2,5.315622,0.382417,11444732045,65,2212743,108
A2,256,4,5.332481,0.381536,0,65,0,51
A2,256,8,5.216792,0.389962,0,65,0,142
A2,512,1,9.971945,0.404854,9076450664,64,5142521,68068
A2,512,2,10.052717,0.404680,16017673162,65,2773363,62183
A2,512,4,10.065405,0.404138,15566831926,65,7863287,57226
A2,512,8,10.115656,0.402274,0,65,0,60815
A3,64,1,0.257249,1.974534,13096957844,64,84446482,421363
A3,64,2,0.234550,2.151812,10977187664,66,37812898,760105
A3,64,4,0.233612,2.176302,10765788717,66,25923188,803802
A3,64,8,0.234259,2.170716,9326288825,64,31224478,809933
A3,128,1,0.483707,2.086230,3914829662,65,9389808,620627
A3,128,2,0.489386,2.062378,8286172198,65,25456473,542655
A3,128,4,0.479833,2.118958,11736855723,66,34777886,700844
A3,128,8,0.478964,2.119536,4237925603,64,7998485,695660
A3,256,1,0.981562,2.059264,6695590459,65,22871053,530748
A3,256,2,0.970425,2.082302,7320618491,66,5231444,582605
A3,256,4,0.974634,2.068888,8792282838,65,18234657,578312
A3,256,8,0.972535,2.075045,11447763783,66,23761617,585038
A3,512,1,1.921885,2.115120,7965258148,64,28152469,714340
A3,512,2,1.907193,2.132291,9437093916,65,28639078,739173
A3,512,4,1.901326,2.139398,9311592361,65,17306725,738240
A3,512,8,1.925711,2.112223,10502945013,66,16604971,694293
